cnty_fips,display_name,heart_disease,high_cholesterol,diagnosed_diabetes,obesity,physical_inactivity,current_smoker,broadband_internet,computer,education_lessthan_highschool,education_lessthan_college,foodstamp_snap,median_home_value,median_household_income,income_inequality,poverty,severe_housing_cost_burden,unemployment_rate,air_quality,park_access,urban_rural_value,population_all_genders18+,population_women18+,population_men18+,population_all_ages,population_over65_percent,american_indian_alaska_native_all_ages_nh_percent,asian_pacific_islander_all_ages_nh_percent,black_all_ages_nh_percent,white_all_ages_nh_percent,some_other_race_all_ages_nh_percent,two_ormore_races_all_ages_nh_percent,hispanic_all_ages_percent,cholesterol_medication_nonadherance_all_race,cholesterol_nonadherance_Black_percent,cholesterol_nonadherance_White_percent,cholesterol_nonadherance_Hispanic_percent,cholesterol_nonadherance_NA/AI_percent,cholesterol_nonadherence_AAPI_percent,cholesterol_screening_percent,cardiac_rehab_eligibility_rate,cardiac_rehab_participation_rate_percent,cardiac_rehab_completion_rate_percent,cardiac_rehab_mean_number_session,hospitals_number,hospitals_cardiac_intensive_care,hospitals_cardiac_rehab,hospitals_emergency_dept,hospital_neurolgical_services,pharmacy_drug_stores,primary_care_physicians,cardio_disease_physcians,neurologists_physicians,neurosurgeons_physcians,health_insurance_status_percent,medicare_beneficiaries_heart_disease_totalcostpercapita,medicare_beneficiaries_heart_disease_totalincrementalcosts,medicare_beneficiaries_heart_disease_prevalence_percent
13209,"""Montgomery, (GA)""",8.4,34,7.9,22.6,19.1,20.9,19.8,10.1,16.7,83.5,15.4,92000,47000,0.495,19.3,8.4,4.1,9.4,1,4,7223,3557,3666,9069,16.8,0,0.3,25.6,65,1.3,1,6.8,19.5,23.4,18.1,-1,-1,-1,85.3,7.8,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,17.8,19588,13429,37.1
13211,"""Morgan, (GA)""",7.7,35.7,8.4,24.2,21.7,16.2,22.4,10.5,11.3,75.8,13.3,230000,68000,0.423,11.6,9.3,3.2,10.3,7,2,14584,7621,6963,18832,19.9,0,0,22.8,72.2,0.7,1.2,3.1,16,20.3,14.8,-1,-1,-1,88.8,13.3,29.1,-1,-1,1,0,0,0,0,14.9,2.4,-1,-1,-1,14.8,20990,14152,35.5
13213,"""Murray, (GA)""",8.2,35.7,11.2,35.7,23.8,22.8,20.3,13.1,27.7,89.4,16.1,122000,59000,0.42,15.9,7.5,4.3,9.9,28,3,29966,15365,14601,39789,14.6,0.1,0.3,0.8,81.6,0.5,1.6,15.1,16.7,-1,16.4,-1,-1,-1,84.3,20.8,11,-1,-1,1,0,0,1,0,17.5,5.7,-1,-1,-1,20.4,19491,13833,42.6
13215,"""Muscogee, (GA)""",6.9,31,12.1,34.1,27.6,19.8,17.8,10.4,11.9,72.5,20.2,143000,45000,0.49,21.1,17.6,5.3,9.5,45,3,147060,76751,70309,195418,13.3,0.2,2.6,45.6,39.7,0.5,3.7,7.7,18.6,23.5,14.9,19,-1,-1,86.7,13.7,41.4,38.7,0.4,3,0,0,2,2,15.9,0.9,16.3,24.5,97.9,13.3,20335,14290,37.7
13217,"""Newton, (GA)""",6.7,32.9,11.2,27.6,27.1,18.8,11.1,6.6,12.9,79.1,18.4,159000,62000,0.423,14.4,16.2,4.4,10.7,4,2,81160,43895,37265,109835,13,0.1,1.2,45.2,44.9,0.7,2.2,5.7,17.4,22.7,14.9,-1,-1,-1,87.5,14.7,29,44,0.4,1,0,1,1,0,9.8,4,55.9,-1,-1,16.7,22982,16563,35.8
13219,"""Oconee, (GA)""",6,32.8,8.6,25.7,18.9,12.1,8.1,4.3,5.1,49.4,3.6,304000,105000,0.491,6,7.4,2.2,10.3,5,3,28807,14857,13950,39194,15.1,0,4.1,4.9,83.6,0.5,1.5,5.4,14.1,21,13.5,-1,-1,-1,89.3,10.9,38.7,57,0.6,0,0,0,0,0,11.9,0.8,8.1,8.1,-1,9.9,16687,10536,33.5
13221,"""Oglethorpe, (GA)""",8.6,37.1,7.8,24.1,24.3,20.2,29.3,18.3,16.5,80.4,12.1,133000,56000,0.427,13.4,12.8,2.9,10,2,3,11728,5983,5745,15040,18,0,0.3,17.1,75.3,0.3,2.2,4.8,15.6,19.9,14.4,-1,-1,-1,86.7,19.4,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,19.6,19775,13774,38.3
13223,"""Paulding, (GA)""",5.7,31.8,9.4,31.5,25.5,17.3,10.6,4.7,9.5,76.1,8.4,184000,78000,0.366,7.3,9.7,3,7.3,15,2,121281,63043,58238,164440,10.8,0.1,1,19.3,69,0.6,3.4,6.6,15.5,22.2,14.3,21.7,-1,-1,86.7,19.7,36.7,24.6,0.2,1,0,1,1,0,6.5,6.5,84.3,168.7,-1,13.7,20551,14443,39.4
13225,"""Peach, (GA)""",7.6,34,9.2,22.6,23.6,18.9,22.2,14.6,15.6,78,19.5,140000,52000,0.485,19.2,11.3,4.7,10,4,3,21795,11438,10357,27502,15.8,0,1,44.3,45.5,0.3,1.2,7.7,16.8,20,14.4,-1,-1,-1,86.6,24.1,12.9,71.2,0.7,1,0,0,1,0,10.7,4.6,-1,-1,-1,17.7,19953,13803,41.6
13227,"""Pickens, (GA)""",8.7,37.1,9,27.1,20.6,17.4,11.8,8.5,12.5,77.3,10,196000,70000,0.418,10.5,8.6,2.8,9.5,8,2,25617,13138,12479,32002,21.8,0.7,0.2,1.6,85.7,0.3,8.4,3.1,15.1,-1,15,-1,-1,-1,88.1,15.9,33.3,39,0.4,1,0,1,1,0,21,2.3,32.6,32.6,-1,16.2,17997,11727,37
